sem$cod$mat$prof
2021/2$DCC639$Álgebra Linear Computacional$Erickson Rangel do Nascimento
2022/2$DCC639$Álgebra Linear Computacional$Heitor Soares Ramos Filho
2022/2$DCC639$Álgebra Linear Computacional$Alexandre Salles da Cunha 
2021/2$DCC639$Álgebra Linear Computacional$Fabrício Murai
2022/2$DCC639$Álgebra Linear Computacional$Ana Paula Couto da Silva
2020/2$DCC639$Álgebra Linear Computacional$Erickson Rangel do Nascimento
2020/2$DCC639$Álgebra Linear Computacional$Fabrício Murai
2021/1$DCC639$Álgebra Linear Computacional$Erickson Rangel do Nascimento
2021/1$DCC639$Álgebra Linear Computacional$Fabrício Murai
2022/1$DCC639$Álgebra Linear Computacional$Erickson Rangel do Nascimento
2022/1$DCC639$Álgebra Linear Computacional$Fabrício Murai
2023/1$DCC639$Álgebra Linear Computacional$Alexandre Salles da Cunha 
2023/1$DCC639$Álgebra Linear Computacional$Ana Paula Couto da Silva
2021/2$DCC831$Algoritmos de Aprendizado Profundo$Fabrício Murai
2020/1$DCC003$Algoritmos e Estruturas de Dados I$Pedro Olmo Stancioli Vaz De Melo
2022/2$DCC206$Algoritmos I$Jussara Marques de Almeida
2022/1$DCC206$Algoritmos I$Olga Nikolaevna Goussevskaia
2021/2$DCC206$Algoritmos I$Jussara Marques de Almeida
2022/1$DCC206$Algoritmos I$Jussara Marques de Almeida
2022/2$DCC206$Algoritmos I$Vinicius Fernandes dos Santos
2021/2$DCC206$Algoritmos I$Olga Nikolaevna Goussevskaia
2020/2$DCC206$Algoritmos I$Jussara Marques de Almeida
2020/2$DCC206$Algoritmos I$Olga Nikolaevna Goussevskaia
2021/1$DCC206$Algoritmos I$Olga Nikolaevna Goussevskaia
2021/1$DCC206$Algoritmos I$Jussara Marques de Almeida
2023/1$DCC206$Algoritmos I$Jussara Marques de Almeida
2023/1$DCC206$Algoritmos I$Vinicius Fernandes dos Santos
2021/1$DCC207$Algoritmos II$Renato Vimieiro
2022/1$DCC207$Algoritmos II$Renato Vimieiro
2022/2$DCC207$Algoritmos II$Renato Vimieiro
2021/2$DCC207$Algoritmos II$Renato Vimieiro
2020/2$DCC207$Algoritmos II$Renato Vimieiro
2023/1$DCC207$Algoritmos II$Renato Vimieiro
2023/1$DCC186$Algoritmos para Bioinformática I$Marcos Augusto dos Santos
2022/1$DCC186$Algoritmos para Bioinformática I$Marcos Augusto dos Santos
2021/1$DCC186$Algoritmos para Bioinformática I$Marcos Augusto dos Santos
2021/2$DCC187$Algoritmos para Bioinformática II$Marcos Augusto dos Santos
2020/2$DCC187$Algoritmos para Bioinformática II$Marcos Augusto dos Santos
2021/2$DCC909$Ambientes de Computação$Raquel Cardoso de Melo Minardi
2022/1$DCC909$Ambientes de Computação$Raquel Cardoso de Melo Minardi
2021/1$DCC909$Ambientes de Computação$Raquel Cardoso de Melo Minardi
2023/1$DCC909$Ambientes de Computação$Raquel Cardoso de Melo Minardi
2020/2$DCC909$Ambientes de Computação $Raquel Cardoso de Melo Minardi
2022/1$DCC033$Análise Numérica$Martín Gómez Ravetti
2022/1$DCC033$Análise Numérica$Loïc Pascal Gilles Cerf
2022/1$DCC033$Análise Numérica$Alexandre Salles da Cunha 
2022/2$DCC033$Análise Numérica$Marcos Augusto dos Santos
2022/1$DCC033$Análise Numérica$Cristiano Arbex Valle
2022/2$DCC033$Análise Numérica$Cristiano Arbex Valle
2022/2$DCC033$Análise Numérica$Martín Gómez Ravetti
2021/2$DCC033$Análise Numérica$Frederico Ferreira Campos Filho 
2021/2$DCC033$Análise Numérica$Alexandre Salles da Cunha 
2021/2$DCC033$Análise Numérica$Loïc Pascal Gilles Cerf
2020/2$DCC033$Análise Numérica$Frederico Ferreira Campos Filho 
2020/2$DCC033$Análise Numérica$Frederico Ferreira Campos Filho 
2021/1$DCC033$Análise Numérica$Loïc Pascal Gilles Cerf
2021/1$DCC033$Análise Numérica$Frederico Ferreira Campos Filho 
2021/1$DCC033$Análise Numérica$Loïc Pascal Gilles Cerf
2020/2$DCC033$Análise Numérica$Loïc Pascal Gilles Cerf
2023/1$DCC033$Análise Numérica$Loïc Pascal Gilles Cerf
2023/1$DCC033$Análise Numérica$Martín Gómez Ravetti
2021/1$DCC189$Armazém de Dados$Marcos André Gonçalves
2022/1$DCC189$Armazém de Dados$Marcos André Gonçalves
2020/2$DCC034$Cálculo Numérico$Alexandre Salles da Cunha 
2020/2$DCC034$Cálculo Numérico$Ana Paula Couto da Silva
2022/1$DCC034$Cálculo Numérico$Martín Gómez Ravetti
2022/1$DCC034$Cálculo Numérico$Ana Paula Couto da Silva
2022/2$DCC034$Cálculo Numérico$Marcos Augusto dos Santos
2020/2$DCC034$Cálculo Numérico$Cristiano Arbex Valle
2022/2$DCC034$Cálculo Numérico$Frederico Ferreira Campos Filho 
2022/1$DCC034$Cálculo Numérico$Marcos Augusto dos Santos
2022/1$DCC034$Cálculo Numérico$Cristiano Arbex Valle
2022/1$DCC034$Cálculo Numérico$Fabrício Murai
2022/2$DCC034$Cálculo Numérico$Alexandre Salles da Cunha 
2022/1$DCC034$Cálculo Numérico$Frederico Ferreira Campos Filho 
